vegas: 45.5, predictive mean 50.74997352807407, under percentage: 0.2801556420233463, over percentage: 0.7198443579766537
vegas: 50.5, predictive mean 51.031723204941706, under percentage: 0.48508430609597925, over percentage: 0.5149156939040207
vegas: 48.0, predictive mean 51.51336487924399, under percentage: 0.35019455252918286, over percentage: 0.6498054474708171
vegas: 50.5, predictive mean 52.43139920883314, under percentage: 0.4033722438391699, over percentage: 0.5966277561608301
vegas: 49.5, predictive mean 52.642791943918205, under percentage: 0.3748378728923476, over percentage: 0.6251621271076524
vegas: 50.5, predictive mean 52.20782043392386, under percentage: 0.4383916990920882, over percentage: 0.5616083009079118
vegas: 49.0, predictive mean 51.677942002821815, under percentage: 0.39169909208819714, over percentage: 0.6083009079118028
vegas: 58.5, predictive mean 52.56926340860097, under percentage: 0.7405966277561609, over percentage: 0.2594033722438392
vegas: 51.0, predictive mean 52.109360391407286, under percentage: 0.4383916990920882, over percentage: 0.5616083009079118
vegas: 47.5, predictive mean 52.805568043433134, under percentage: 0.2775616083009079, over percentage: 0.7224383916990921
vegas: 48.0, predictive mean 51.51808032651249, under percentage: 0.3450064850843061, over percentage: 0.6549935149156939
vegas: 54.0, predictive mean 52.22254914026588, under percentage: 0.5966277561608301, over percentage: 0.4033722438391699
vegas: 49.5, predictive mean 51.04891411440023, under percentage: 0.4409857328145266, over percentage: 0.5590142671854734
vegas: 49.0, predictive mean 50.660145354802324, under percentage: 0.437094682230869, over percentage: 0.562905317769131
vegas: 52.5, predictive mean 52.23109953673985, under percentage: 0.5421530479896238, over percentage: 0.4578469520103761
vegas: 49.0, predictive mean 51.94818831124593, under percentage: 0.38910505836575876, over percentage: 0.6108949416342413
vegas: 55.0, predictive mean 52.98051282475632, under percentage: 0.603112840466926, over percentage: 0.3968871595330739
vegas: 50.5, predictive mean 51.55465877720642, under percentage: 0.4721141374837873, over percentage: 0.5278858625162127
vegas: 51.5, predictive mean 52.78593991152343, under percentage: 0.45525291828793774, over percentage: 0.5447470817120622
vegas: 50.0, predictive mean 52.882961749468, under percentage: 0.3748378728923476, over percentage: 0.6251621271076524
vegas: 51.0, predictive mean 52.16380231415824, under percentage: 0.4682230869001297, over percentage: 0.5317769130998703
vegas: 50.0, predictive mean 51.73625750031326, under percentage: 0.4254215304798962, over percentage: 0.5745784695201037
vegas: 55.0, predictive mean 52.68988234128331, under percentage: 0.6057068741893644, over percentage: 0.3942931258106355
vegas: 54.0, predictive mean 52.593351973471314, under percentage: 0.569390402075227, over percentage: 0.43060959792477305
vegas: 51.0, predictive mean 52.20970174741725, under percentage: 0.44487678339818415, over percentage: 0.5551232166018158
vegas: 49.0, predictive mean 52.03435138892192, under percentage: 0.38261997405966275, over percentage: 0.6173800259403373
vegas: 54.5, predictive mean 51.68688138323748, under percentage: 0.6160830090791181, over percentage: 0.383916990920882
vegas: 48.0, predictive mean 52.90540462525393, under percentage: 0.2931258106355383, over percentage: 0.7068741893644618
vegas: 49.5, predictive mean 52.6176797854626, under percentage: 0.36057068741893644, over percentage: 0.6394293125810635
vegas: 46.5, predictive mean 52.94156712052403, under percentage: 0.24124513618677043, over percentage: 0.7587548638132295
vegas: 55.5, predictive mean 53.233642572710906, under percentage: 0.6199740596627756, over percentage: 0.38002594033722437
vegas: 49.0, predictive mean 52.37898083345875, under percentage: 0.35667963683527887, over percentage: 0.6433203631647212
vegas: 51.0, predictive mean 52.50046475742302, under percentage: 0.4409857328145266, over percentage: 0.5590142671854734
vegas: 0, predictive mean 52.80382617931078, under percentage: 0.0, over percentage: 1.0
vegas: 51.5, predictive mean 52.38839397496011, under percentage: 0.4682230869001297, over percentage: 0.5317769130998703
vegas: 49.5, predictive mean 52.181035926412875, under percentage: 0.38261997405966275, over percentage: 0.6173800259403373
vegas: 51.5, predictive mean 52.363496595875304, under percentage: 0.48638132295719844, over percentage: 0.5136186770428015
vegas: 48.5, predictive mean 52.758239376642166, under percentage: 0.29442282749675747, over percentage: 0.7055771725032426
vegas: 56.0, predictive mean 52.23831841418717, under percentage: 0.6990920881971465, over percentage: 0.3009079118028534
vegas: 51.0, predictive mean 52.74704990786196, under percentage: 0.4396887159533074, over percentage: 0.5603112840466926
vegas: 49.0, predictive mean 52.561267684069946, under percentage: 0.3463035019455253, over percentage: 0.6536964980544747
vegas: 49.0, predictive mean 52.33774430308524, under percentage: 0.3540856031128405, over percentage: 0.6459143968871596
vegas: 53.0, predictive mean 51.71155634589935, under percentage: 0.556420233463035, over percentage: 0.44357976653696496
vegas: 51.0, predictive mean 52.02812403177736, under percentage: 0.4578469520103761, over percentage: 0.5421530479896238
vegas: 46.5, predictive mean 51.99436751928498, under percentage: 0.25810635538262, over percentage: 0.74189364461738
vegas: 54.0, predictive mean 52.624721266269404, under percentage: 0.5849546044098574, over percentage: 0.4150453955901427
vegas: 49.5, predictive mean 54.217457095970026, under percentage: 0.2827496757457847, over percentage: 0.7172503242542153
vegas: 51.5, predictive mean 53.307675291689684, under percentage: 0.44487678339818415, over percentage: 0.5551232166018158
vegas: 50.0, predictive mean 52.3342039303794, under percentage: 0.4046692607003891, over percentage: 0.5953307392996109
vegas: 48.0, predictive mean 51.624013892776865, under percentage: 0.324254215304799, over percentage: 0.6757457846952011
vegas: 52.5, predictive mean 49.91987724878217, under percentage: 0.6264591439688716, over percentage: 0.3735408560311284
vegas: 51.5, predictive mean 52.073265437019295, under percentage: 0.48249027237354086, over percentage: 0.5175097276264592
vegas: 52.0, predictive mean 52.46654724417171, under percentage: 0.49416342412451364, over percentage: 0.5058365758754864
vegas: 49.0, predictive mean 52.961614320905795, under percentage: 0.3411154345006485, over percentage: 0.6588845654993515
vegas: 54.5, predictive mean 51.813082177918965, under percentage: 0.648508430609598, over percentage: 0.35149156939040205
vegas: 51.5, predictive mean 53.292886151072054, under percentage: 0.4345006485084306, over percentage: 0.5654993514915694
vegas: 51.0, predictive mean 51.759112437157796, under percentage: 0.47341115434500647, over percentage: 0.5265888456549935
vegas: 50.5, predictive mean 50.652798134153485, under percentage: 0.4876783398184176, over percentage: 0.5123216601815823
vegas: 54.0, predictive mean 51.62636849575927, under percentage: 0.62905317769131, over percentage: 0.37094682230869
vegas: 55.0, predictive mean 51.43803519636941, under percentage: 0.6705577172503242, over percentage: 0.32944228274967574
vegas: 49.5, predictive mean 52.63616662655004, under percentage: 0.3463035019455253, over percentage: 0.6536964980544747
vegas: 49.5, predictive mean 51.54228729729615, under percentage: 0.4098573281452659, over percentage: 0.5901426718547341
vegas: 49.5, predictive mean 53.5051751118323, under percentage: 0.3359273670557717, over percentage: 0.6640726329442282
vegas: 48.0, predictive mean 52.506737408831924, under percentage: 0.2801556420233463, over percentage: 0.7198443579766537
vegas: 52.0, predictive mean 51.731337040013024, under percentage: 0.5369649805447471, over percentage: 0.46303501945525294
vegas: 52.0, predictive mean 52.141170741923624, under percentage: 0.5136186770428015, over percentage: 0.48638132295719844
vegas: 50.0, predictive mean 51.94821768625389, under percentage: 0.41374837872892345, over percentage: 0.5862516212710766
vegas: 51.5, predictive mean 52.461573253168474, under percentage: 0.4578469520103761, over percentage: 0.5421530479896238
vegas: 50.5, predictive mean 52.469786908848064, under percentage: 0.41115434500648507, over percentage: 0.5888456549935149
vegas: 48.0, predictive mean 52.950950354992145, under percentage: 0.2892347600518807, over percentage: 0.7107652399481194
vegas: 52.0, predictive mean 51.81626680724023, under percentage: 0.5214007782101168, over percentage: 0.4785992217898833
vegas: 48.5, predictive mean 52.57033357203691, under percentage: 0.32944228274967574, over percentage: 0.6705577172503242
vegas: 53.0, predictive mean 52.71937444520617, under percentage: 0.5278858625162127, over percentage: 0.4721141374837873
vegas: 52.0, predictive mean 51.81231289625231, under percentage: 0.51621271076524, over percentage: 0.48378728923476005
vegas: 50.0, predictive mean 52.045214868905084, under percentage: 0.4163424124513619, over percentage: 0.5836575875486382
