vegas: 45.5, predictive mean 51.65483047178489, under percentage: 0.27367055771725035, over percentage: 0.7263294422827496
vegas: 50.5, predictive mean 52.61282128348361, under percentage: 0.4150453955901427, over percentage: 0.5849546044098574
vegas: 48.0, predictive mean 51.426563514297484, under percentage: 0.3722438391699092, over percentage: 0.6277561608300908
vegas: 50.5, predictive mean 52.91776279125699, under percentage: 0.4072632944228275, over percentage: 0.5927367055771725
vegas: 49.5, predictive mean 52.58399586441044, under percentage: 0.4046692607003891, over percentage: 0.5953307392996109
vegas: 50.5, predictive mean 53.04811756801492, under percentage: 0.42153047989623865, over percentage: 0.5784695201037614
vegas: 49.0, predictive mean 53.40390469494338, under percentage: 0.35927367055771725, over percentage: 0.6407263294422828
vegas: 58.5, predictive mean 51.655587603738006, under percentage: 0.7237354085603113, over percentage: 0.27626459143968873
vegas: 51.0, predictive mean 51.93280170786889, under percentage: 0.4591439688715953, over percentage: 0.5408560311284046
vegas: 47.5, predictive mean 52.070943970965075, under percentage: 0.3463035019455253, over percentage: 0.6536964980544747
vegas: 48.0, predictive mean 51.83933449096812, under percentage: 0.36057068741893644, over percentage: 0.6394293125810635
vegas: 54.0, predictive mean 52.142263992280334, under percentage: 0.6044098573281452, over percentage: 0.3955901426718547
vegas: 49.5, predictive mean 51.63374949568826, under percentage: 0.41893644617380027, over percentage: 0.5810635538261998
vegas: 49.0, predictive mean 51.98720629384852, under percentage: 0.4033722438391699, over percentage: 0.5966277561608301
vegas: 52.5, predictive mean 52.96802986538655, under percentage: 0.48119325551232167, over percentage: 0.5188067444876784
vegas: 49.0, predictive mean 52.87923068226816, under percentage: 0.3761348897535668, over percentage: 0.6238651102464332
vegas: 55.0, predictive mean 53.81668308414365, under percentage: 0.5577172503242542, over percentage: 0.44228274967574577
vegas: 50.5, predictive mean 53.40050098111082, under percentage: 0.3942931258106355, over percentage: 0.6057068741893644
vegas: 51.5, predictive mean 52.819221990712826, under percentage: 0.4578469520103761, over percentage: 0.5421530479896238
vegas: 50.0, predictive mean 52.45004075963357, under percentage: 0.42412451361867703, over percentage: 0.5758754863813229
vegas: 51.0, predictive mean 52.288985700359554, under percentage: 0.45136186770428016, over percentage: 0.5486381322957199
vegas: 50.0, predictive mean 50.50692435981108, under percentage: 0.4876783398184176, over percentage: 0.5123216601815823
vegas: 55.0, predictive mean 53.015317807448625, under percentage: 0.5940337224383917, over percentage: 0.4059662775616083
vegas: 54.0, predictive mean 52.03480003160519, under percentage: 0.582360570687419, over percentage: 0.4176394293125811
vegas: 51.0, predictive mean 53.245732700379186, under percentage: 0.4163424124513619, over percentage: 0.5836575875486382
vegas: 49.0, predictive mean 51.686943518583675, under percentage: 0.4046692607003891, over percentage: 0.5953307392996109
vegas: 54.5, predictive mean 50.0454033082571, under percentage: 0.6718547341115434, over percentage: 0.32814526588845655
vegas: 48.0, predictive mean 51.67377418232421, under percentage: 0.3748378728923476, over percentage: 0.6251621271076524
vegas: 49.5, predictive mean 52.080545701334074, under percentage: 0.39948119325551235, over percentage: 0.6005188067444877
vegas: 46.5, predictive mean 53.64716058320319, under percentage: 0.24773022049286642, over percentage: 0.7522697795071336
vegas: 55.5, predictive mean 53.78762680934674, under percentage: 0.569390402075227, over percentage: 0.43060959792477305
vegas: 49.0, predictive mean 51.92015209187844, under percentage: 0.3968871595330739, over percentage: 0.603112840466926
vegas: 51.0, predictive mean 51.9111111401008, under percentage: 0.4773022049286641, over percentage: 0.522697795071336
vegas: 0, predictive mean 51.41213856163712, under percentage: 0.0, over percentage: 1.0
vegas: 51.5, predictive mean 53.07097176074827, under percentage: 0.45136186770428016, over percentage: 0.5486381322957199
vegas: 49.5, predictive mean 53.462945557581776, under percentage: 0.32944228274967574, over percentage: 0.6705577172503242
vegas: 51.5, predictive mean 53.67161147745286, under percentage: 0.42023346303501946, over percentage: 0.5797665369649806
vegas: 48.5, predictive mean 53.30206556358062, under percentage: 0.32684824902723736, over percentage: 0.6731517509727627
vegas: 56.0, predictive mean 52.13000672442862, under percentage: 0.6303501945525292, over percentage: 0.36964980544747084
vegas: 51.0, predictive mean 52.141620857683606, under percentage: 0.4669260700389105, over percentage: 0.5330739299610895
vegas: 49.0, predictive mean 51.781456807779925, under percentage: 0.3942931258106355, over percentage: 0.6057068741893644
vegas: 49.0, predictive mean 51.85782724254791, under percentage: 0.4046692607003891, over percentage: 0.5953307392996109
vegas: 53.0, predictive mean 51.538738870138985, under percentage: 0.5499351491569391, over percentage: 0.45006485084306097
vegas: 51.0, predictive mean 52.271740319028204, under percentage: 0.46303501945525294, over percentage: 0.5369649805447471
vegas: 46.5, predictive mean 52.312886712935025, under percentage: 0.2931258106355383, over percentage: 0.7068741893644618
vegas: 54.0, predictive mean 53.6330698121048, under percentage: 0.522697795071336, over percentage: 0.4773022049286641
vegas: 49.5, predictive mean 52.74205134509265, under percentage: 0.38261997405966275, over percentage: 0.6173800259403373
vegas: 51.5, predictive mean 52.442815823037, under percentage: 0.47341115434500647, over percentage: 0.5265888456549935
vegas: 50.0, predictive mean 55.49317070378744, under percentage: 0.29831387808041504, over percentage: 0.7016861219195849
vegas: 48.0, predictive mean 52.653199548267736, under percentage: 0.3229571984435798, over percentage: 0.6770428015564203
vegas: 52.5, predictive mean 53.71753671278764, under percentage: 0.46433203631647213, over percentage: 0.5356679636835279
vegas: 51.5, predictive mean 51.85131230630572, under percentage: 0.49546044098573283, over percentage: 0.5045395590142672
vegas: 52.0, predictive mean 53.11982684575139, under percentage: 0.46433203631647213, over percentage: 0.5356679636835279
vegas: 49.0, predictive mean 53.46684294244546, under percentage: 0.35019455252918286, over percentage: 0.6498054474708171
vegas: 54.5, predictive mean 52.56023605231632, under percentage: 0.5836575875486382, over percentage: 0.4163424124513619
vegas: 51.5, predictive mean 53.44795252685318, under percentage: 0.43060959792477305, over percentage: 0.569390402075227
vegas: 51.0, predictive mean 54.35601464248531, under percentage: 0.40207522697795073, over percentage: 0.5979247730220493
vegas: 50.5, predictive mean 52.71122165440837, under percentage: 0.42153047989623865, over percentage: 0.5784695201037614
vegas: 54.0, predictive mean 51.58047113080449, under percentage: 0.5797665369649806, over percentage: 0.42023346303501946
vegas: 55.0, predictive mean 52.21428948860663, under percentage: 0.5888456549935149, over percentage: 0.41115434500648507
vegas: 49.5, predictive mean 51.8873224986645, under percentage: 0.43060959792477305, over percentage: 0.569390402075227
vegas: 49.5, predictive mean 50.24838154632271, under percentage: 0.46433203631647213, over percentage: 0.5356679636835279
vegas: 49.5, predictive mean 50.78350647140059, under percentage: 0.4682230869001297, over percentage: 0.5317769130998703
vegas: 48.0, predictive mean 53.531051115562214, under percentage: 0.29701686121919585, over percentage: 0.7029831387808041
vegas: 52.0, predictive mean 53.35124433371772, under percentage: 0.4604409857328145, over percentage: 0.5395590142671854
vegas: 52.0, predictive mean 52.97807605077798, under percentage: 0.4695201037613489, over percentage: 0.5304798962386511
vegas: 50.0, predictive mean 52.443243410914974, under percentage: 0.4150453955901427, over percentage: 0.5849546044098574
vegas: 51.5, predictive mean 51.21459514364032, under percentage: 0.5136186770428015, over percentage: 0.48638132295719844
vegas: 50.5, predictive mean 52.78952640487029, under percentage: 0.4072632944228275, over percentage: 0.5927367055771725
vegas: 48.0, predictive mean 53.5414703889965, under percentage: 0.3099870298313878, over percentage: 0.6900129701686122
vegas: 52.0, predictive mean 53.41471376431097, under percentage: 0.45265888456549935, over percentage: 0.5473411154345007
vegas: 48.5, predictive mean 54.310847286370745, under percentage: 0.29961089494163423, over percentage: 0.7003891050583657
vegas: 53.0, predictive mean 52.49338144540113, under percentage: 0.5395590142671854, over percentage: 0.4604409857328145
vegas: 52.0, predictive mean 51.957907852233056, under percentage: 0.5006485084306096, over percentage: 0.4993514915693904
vegas: 50.0, predictive mean 52.07635390070364, under percentage: 0.4345006485084306, over percentage: 0.5654993514915694
vegas: 53.0, predictive mean 52.71515775065091, under percentage: 0.49416342412451364, over percentage: 0.5058365758754864
vegas: 50.5, predictive mean 53.280735267966826, under percentage: 0.39299610894941633, over percentage: 0.6070038910505836
vegas: 52.5, predictive mean 54.24253360217664, under percentage: 0.42153047989623865, over percentage: 0.5784695201037614
vegas: 55.5, predictive mean 52.39955718172521, under percentage: 0.6186770428015564, over percentage: 0.38132295719844356
vegas: 50.5, predictive mean 52.36261189448808, under percentage: 0.4461738002594034, over percentage: 0.5538261997405967
vegas: 54.5, predictive mean 51.65660951342278, under percentage: 0.6134889753566797, over percentage: 0.3865110246433204
vegas: 53.5, predictive mean 52.88112247904869, under percentage: 0.5278858625162127, over percentage: 0.4721141374837873
vegas: 55.0, predictive mean 51.3667787814241, under percentage: 0.6640726329442282, over percentage: 0.3359273670557717
vegas: 53.0, predictive mean 51.37062628992094, under percentage: 0.5616083009079118, over percentage: 0.4383916990920882
vegas: 51.0, predictive mean 51.4613318502658, under percentage: 0.48378728923476005, over percentage: 0.51621271076524
vegas: 51.5, predictive mean 50.83831653444791, under percentage: 0.5486381322957199, over percentage: 0.45136186770428016
vegas: 51.0, predictive mean 52.040227631720434, under percentage: 0.4604409857328145, over percentage: 0.5395590142671854
vegas: 52.0, predictive mean 51.93951925956478, under percentage: 0.5123216601815823, over percentage: 0.4876783398184176
vegas: 50.0, predictive mean 53.25352084289205, under percentage: 0.3968871595330739, over percentage: 0.603112840466926
vegas: 51.5, predictive mean 52.14981514257183, under percentage: 0.4785992217898833, over percentage: 0.5214007782101168
vegas: 51.5, predictive mean 53.50037505284337, under percentage: 0.42023346303501946, over percentage: 0.5797665369649806
vegas: 51.0, predictive mean 51.93254989130087, under percentage: 0.4785992217898833, over percentage: 0.5214007782101168
vegas: 51.5, predictive mean 52.762073992252375, under percentage: 0.45525291828793774, over percentage: 0.5447470817120622
