vegas: 45.0, predictive mean 51.39709029628279, under percentage: 0.0038910505836575876, over percentage: 0.9961089494163424
vegas: 53.0, predictive mean 51.70713043941432, under percentage: 0.7172503242542153, over percentage: 0.2827496757457847
vegas: 49.5, predictive mean 51.51061930087202, under percentage: 0.20363164721141375, over percentage: 0.7963683527885862
vegas: 51.5, predictive mean 51.669199458251235, under percentage: 0.48508430609597925, over percentage: 0.5149156939040207
vegas: 50.5, predictive mean 51.5550501788379, under percentage: 0.3631647211413748, over percentage: 0.6368352788586251
vegas: 52.0, predictive mean 51.693584371583796, under percentage: 0.5875486381322957, over percentage: 0.41245136186770426
vegas: 51.5, predictive mean 51.56198750676688, under percentage: 0.48378728923476005, over percentage: 0.51621271076524
vegas: 59.5, predictive mean 51.55206608967017, under percentage: 0.9896238651102465, over percentage: 0.010376134889753566
vegas: 50.5, predictive mean 51.77137271627248, under percentage: 0.29442282749675747, over percentage: 0.7055771725032426
vegas: 47.5, predictive mean 51.6080685131731, under percentage: 0.04539559014267185, over percentage: 0.9546044098573282
vegas: 49.5, predictive mean 51.772115234910295, under percentage: 0.19584954604409857, over percentage: 0.8041504539559015
vegas: 54.5, predictive mean 51.570067180304164, under percentage: 0.9312581063553826, over percentage: 0.06874189364461739
vegas: 51.5, predictive mean 51.66610135339522, under percentage: 0.5071335927367056, over percentage: 0.49286640726329445
vegas: 49.5, predictive mean 51.64620197522554, under percentage: 0.13618677042801555, over percentage: 0.8638132295719845
vegas: 53.5, predictive mean 51.57734821092439, under percentage: 0.8482490272373541, over percentage: 0.1517509727626459
vegas: 49.5, predictive mean 51.68553032197409, under percentage: 0.19066147859922178, over percentage: 0.8093385214007782
vegas: 57.0, predictive mean 51.358592758630756, under percentage: 0.9974059662775616, over percentage: 0.0025940337224383916
vegas: 51.0, predictive mean 51.67458141578804, under percentage: 0.3735408560311284, over percentage: 0.6264591439688716
vegas: 53.0, predictive mean 51.744979051052795, under percentage: 0.7159533073929961, over percentage: 0.2840466926070039
vegas: 50.5, predictive mean 51.711537815369475, under percentage: 0.35019455252918286, over percentage: 0.6498054474708171
vegas: 51.5, predictive mean 51.62509393179933, under percentage: 0.49286640726329445, over percentage: 0.5071335927367056
vegas: 51.0, predictive mean 51.63212324702319, under percentage: 0.42412451361867703, over percentage: 0.5758754863813229
vegas: 57.0, predictive mean 51.69593979414162, under percentage: 0.9662775616083009, over percentage: 0.03372243839169909
vegas: 55.5, predictive mean 51.689390059798946, under percentage: 0.9429312581063554, over percentage: 0.057068741893644616
vegas: 52.0, predictive mean 51.54655569304578, under percentage: 0.603112840466926, over percentage: 0.3968871595330739
vegas: 50.5, predictive mean 51.66740526900398, under percentage: 0.36835278858625164, over percentage: 0.6316472114137484
vegas: 55.5, predictive mean 51.61614108721752, under percentage: 0.9571984435797666, over percentage: 0.042801556420233464
vegas: 48.5, predictive mean 51.77972238630681, under percentage: 0.09727626459143969, over percentage: 0.9027237354085603
vegas: 50.5, predictive mean 51.653489186144185, under percentage: 0.29442282749675747, over percentage: 0.7055771725032426
vegas: 47.5, predictive mean 51.498951625764754, under percentage: 0.02594033722438392, over percentage: 0.9740596627756161
vegas: 57.0, predictive mean 51.48342458137971, under percentage: 0.9779507133592736, over percentage: 0.02204928664072633
vegas: 49.0, predictive mean 51.60400413331467, under percentage: 0.17380025940337224, over percentage: 0.8261997405966277
vegas: 53.5, predictive mean 51.501348517247834, under percentage: 0.8378728923476005, over percentage: 0.1621271076523995
vegas: 52.0, predictive mean 51.58786634955611, under percentage: 0.5810635538261998, over percentage: 0.41893644617380027
vegas: 52.5, predictive mean 51.50414328177879, under percentage: 0.7250324254215305, over percentage: 0.27496757457846954
vegas: 50.5, predictive mean 51.632342861681224, under percentage: 0.3527885862516213, over percentage: 0.6472114137483788
vegas: 52.5, predictive mean 51.6285163265388, under percentage: 0.682230869001297, over percentage: 0.31776913099870296
vegas: 49.0, predictive mean 51.79419784872196, under percentage: 0.10376134889753567, over percentage: 0.8962386511024644
