vegas: 45.0, predictive mean 52.74640531763884, under percentage: 0.0, over percentage: 1.0
vegas: 53.0, predictive mean 53.23596384526957, under percentage: 0.5149156939040207, over percentage: 0.48508430609597925
vegas: 49.5, predictive mean 52.68871156152084, under percentage: 0.0622568093385214, over percentage: 0.9377431906614786
vegas: 51.5, predictive mean 53.00459178406258, under percentage: 0.3203631647211414, over percentage: 0.6796368352788587
vegas: 50.5, predictive mean 53.194254023218484, under percentage: 0.1543450064850843, over percentage: 0.8456549935149157
vegas: 52.0, predictive mean 52.81931395685992, under percentage: 0.36835278858625164, over percentage: 0.6316472114137484
vegas: 51.5, predictive mean 53.03809833710814, under percentage: 0.26718547341115434, over percentage: 0.7328145265888456
vegas: 59.5, predictive mean 52.928952943501024, under percentage: 0.9649805447470817, over percentage: 0.03501945525291829
vegas: 50.5, predictive mean 53.00722501089086, under percentage: 0.15953307392996108, over percentage: 0.8404669260700389
vegas: 47.5, predictive mean 52.962689212052986, under percentage: 0.009079118028534372, over percentage: 0.9909208819714657
vegas: 49.5, predictive mean 52.86560168500589, under percentage: 0.042801556420233464, over percentage: 0.9571984435797666
vegas: 54.5, predictive mean 52.94161655743426, under percentage: 0.8560311284046692, over percentage: 0.14396887159533073
vegas: 51.5, predictive mean 53.13209803853919, under percentage: 0.2594033722438392, over percentage: 0.7405966277561609
vegas: 49.5, predictive mean 52.86078280051613, under percentage: 0.06874189364461739, over percentage: 0.9312581063553826
vegas: 53.5, predictive mean 53.05551078056518, under percentage: 0.5810635538261998, over percentage: 0.41893644617380027
vegas: 49.5, predictive mean 53.176473577886625, under percentage: 0.057068741893644616, over percentage: 0.9429312581063554
vegas: 57.0, predictive mean 52.94495843360677, under percentage: 0.9364461738002594, over percentage: 0.06355382619974059
vegas: 51.0, predictive mean 53.16886625997308, under percentage: 0.185473411154345, over percentage: 0.814526588845655
vegas: 53.0, predictive mean 52.812150918921, under percentage: 0.5499351491569391, over percentage: 0.45006485084306097
vegas: 50.5, predictive mean 52.99160029236241, under percentage: 0.17120622568093385, over percentage: 0.8287937743190662
vegas: 51.5, predictive mean 53.025793415713586, under percentage: 0.29571984435797666, over percentage: 0.7042801556420234
vegas: 51.0, predictive mean 52.68859688791395, under percentage: 0.23735408560311283, over percentage: 0.7626459143968871
vegas: 57.0, predictive mean 53.03635486068656, under percentage: 0.9455252918287937, over percentage: 0.054474708171206226
vegas: 55.5, predictive mean 53.10165619965154, under percentage: 0.8975356679636836, over percentage: 0.10246433203631647
vegas: 52.0, predictive mean 53.05052398280987, under percentage: 0.3346303501945525, over percentage: 0.6653696498054474
vegas: 50.5, predictive mean 53.089513856709225, under percentage: 0.14137483787289234, over percentage: 0.8586251621271076
vegas: 55.5, predictive mean 52.97955914319646, under percentage: 0.874189364461738, over percentage: 0.125810635538262
vegas: 48.5, predictive mean 52.994000134649724, under percentage: 0.01556420233463035, over percentage: 0.9844357976653697
vegas: 50.5, predictive mean 52.91731050204857, under percentage: 0.14007782101167315, over percentage: 0.8599221789883269
vegas: 47.5, predictive mean 53.062851375094986, under percentage: 0.00648508430609598, over percentage: 0.993514915693904
vegas: 57.0, predictive mean 53.068539206613494, under percentage: 0.9286640726329443, over percentage: 0.07133592736705577
vegas: 49.0, predictive mean 53.00161008342879, under percentage: 0.03372243839169909, over percentage: 0.9662775616083009
vegas: 53.5, predictive mean 52.809946782175665, under percentage: 0.6874189364461738, over percentage: 0.3125810635538262
vegas: 52.0, predictive mean 52.99107267712061, under percentage: 0.35019455252918286, over percentage: 0.6498054474708171
vegas: 52.5, predictive mean 52.9105096419541, under percentage: 0.4604409857328145, over percentage: 0.5395590142671854
vegas: 50.5, predictive mean 53.055771601229594, under percentage: 0.1932555123216602, over percentage: 0.8067444876783398
vegas: 52.5, predictive mean 53.07978957525896, under percentage: 0.4098573281452659, over percentage: 0.5901426718547341
vegas: 49.0, predictive mean 53.06689344314192, under percentage: 0.0324254215304799, over percentage: 0.9675745784695201
vegas: 57.0, predictive mean 52.820743834260405, under percentage: 0.9584954604409858, over percentage: 0.041504539559014265
vegas: 52.0, predictive mean 52.75099111622119, under percentage: 0.364461738002594, over percentage: 0.6355382619974059
vegas: 50.0, predictive mean 52.9290150292927, under percentage: 0.14526588845654995, over percentage: 0.85473411154345
vegas: 49.5, predictive mean 53.04227313260591, under percentage: 0.055771725032425425, over percentage: 0.9442282749675746
vegas: 54.0, predictive mean 53.18788342837184, under percentage: 0.7782101167315175, over percentage: 0.22178988326848248
vegas: 52.0, predictive mean 53.021049543044654, under percentage: 0.35927367055771725, over percentage: 0.6407263294422828
vegas: 47.5, predictive mean 52.9183226922329, under percentage: 0.00648508430609598, over percentage: 0.993514915693904
vegas: 55.5, predictive mean 53.02963808542739, under percentage: 0.893644617380026, over percentage: 0.10635538261997406
vegas: 50.5, predictive mean 52.78178791109454, under percentage: 0.17380025940337224, over percentage: 0.8261997405966277
vegas: 51.0, predictive mean 53.0988240829358, under percentage: 0.19066147859922178, over percentage: 0.8093385214007782
vegas: 50.5, predictive mean 53.0812890812565, under percentage: 0.11154345006485085, over percentage: 0.8884565499351491
vegas: 50.0, predictive mean 52.88356916767493, under percentage: 0.1245136186770428, over percentage: 0.8754863813229572
vegas: 53.5, predictive mean 53.03222621875573, under percentage: 0.603112840466926, over percentage: 0.3968871595330739
vegas: 51.5, predictive mean 52.96389101300798, under percentage: 0.2723735408560311, over percentage: 0.7276264591439688
vegas: 53.5, predictive mean 53.086931229881834, under percentage: 0.5680933852140078, over percentage: 0.43190661478599224
vegas: 48.0, predictive mean 53.26814005041697, under percentage: 0.007782101167315175, over percentage: 0.9922178988326849
vegas: 57.5, predictive mean 53.081280962229606, under percentage: 0.9377431906614786, over percentage: 0.0622568093385214
vegas: 52.5, predictive mean 52.92487294770453, under percentage: 0.4396887159533074, over percentage: 0.5603112840466926
vegas: 52.0, predictive mean 53.061299202573906, under percentage: 0.35797665369649806, over percentage: 0.642023346303502
vegas: 52.0, predictive mean 53.15319195764004, under percentage: 0.31906614785992216, over percentage: 0.6809338521400778
vegas: 56.0, predictive mean 53.0582359201568, under percentage: 0.9156939040207522, over percentage: 0.08430609597924774
vegas: 56.5, predictive mean 52.856688296451175, under percentage: 0.9351491569390402, over percentage: 0.0648508430609598
vegas: 51.0, predictive mean 53.286958394541635, under percentage: 0.19455252918287938, over percentage: 0.8054474708171206
vegas: 51.5, predictive mean 52.95873416320326, under percentage: 0.24254215304798962, over percentage: 0.7574578469520103
vegas: 51.5, predictive mean 52.807461795224874, under percentage: 0.3099870298313878, over percentage: 0.6900129701686122
vegas: 49.5, predictive mean 53.17352334223245, under percentage: 0.09727626459143969, over percentage: 0.9027237354085603
vegas: 53.0, predictive mean 53.08307960293597, under percentage: 0.48378728923476005, over percentage: 0.51621271076524
vegas: 54.0, predictive mean 52.80069928745461, under percentage: 0.74189364461738, over percentage: 0.25810635538262
vegas: 50.0, predictive mean 53.01380141287123, under percentage: 0.10635538261997406, over percentage: 0.893644617380026
vegas: 51.5, predictive mean 52.97993761853614, under percentage: 0.2801556420233463, over percentage: 0.7198443579766537
vegas: 51.5, predictive mean 53.15428444406432, under percentage: 0.2723735408560311, over percentage: 0.7276264591439688
vegas: 48.5, predictive mean 52.94883596594889, under percentage: 0.02594033722438392, over percentage: 0.9740596627756161
vegas: 52.5, predictive mean 53.01392400114366, under percentage: 0.4656290531776913, over percentage: 0.5343709468223087
vegas: 50.5, predictive mean 52.9165993776235, under percentage: 0.1543450064850843, over percentage: 0.8456549935149157
vegas: 54.0, predictive mean 52.984396669030325, under percentage: 0.7405966277561609, over percentage: 0.2594033722438392
vegas: 54.0, predictive mean 53.196526624461754, under percentage: 0.6549935149156939, over percentage: 0.3450064850843061
vegas: 51.5, predictive mean 52.94623456735764, under percentage: 0.23994811932555124, over percentage: 0.7600518806744487
vegas: 54.0, predictive mean 52.91592914431114, under percentage: 0.748378728923476, over percentage: 0.251621271076524
vegas: 51.0, predictive mean 53.04713794192215, under percentage: 0.21141374837872892, over percentage: 0.788586251621271
vegas: 53.5, predictive mean 52.88344440707845, under percentage: 0.6498054474708171, over percentage: 0.35019455252918286
vegas: 56.5, predictive mean 52.87416286688885, under percentage: 0.8871595330739299, over percentage: 0.11284046692607004
vegas: 50.5, predictive mean 53.08788541091084, under percentage: 0.14007782101167315, over percentage: 0.8599221789883269
vegas: 55.0, predictive mean 52.91451799261537, under percentage: 0.867704280155642, over percentage: 0.13229571984435798
vegas: 54.5, predictive mean 52.84923010900061, under percentage: 0.8274967574578469, over percentage: 0.17250324254215305
vegas: 55.5, predictive mean 52.882832078915676, under percentage: 0.9195849546044098, over percentage: 0.08041504539559015
vegas: 54.5, predictive mean 53.08446036739074, under percentage: 0.7457846952010376, over percentage: 0.25421530479896237
vegas: 51.5, predictive mean 52.9584364634488, under percentage: 0.25421530479896237, over percentage: 0.7457846952010376
vegas: 51.5, predictive mean 53.181084897585784, under percentage: 0.26848249027237353, over percentage: 0.7315175097276264
vegas: 53.0, predictive mean 53.237664579386546, under percentage: 0.5330739299610895, over percentage: 0.4669260700389105
vegas: 52.5, predictive mean 52.77084133868331, under percentage: 0.48638132295719844, over percentage: 0.5136186770428015
vegas: 51.5, predictive mean 53.07261727847561, under percentage: 0.26718547341115434, over percentage: 0.7328145265888456
vegas: 52.5, predictive mean 52.93556914483036, under percentage: 0.5045395590142672, over percentage: 0.49546044098573283
vegas: 52.5, predictive mean 52.90197228891296, under percentage: 0.42282749675745784, over percentage: 0.5771725032425421
vegas: 53.0, predictive mean 52.89295877528093, under percentage: 0.4889753566796368, over percentage: 0.5110246433203631
vegas: 52.0, predictive mean 52.87278111684091, under percentage: 0.3787289234760052, over percentage: 0.6212710765239948
vegas: 50.5, predictive mean 53.00109955819789, under percentage: 0.17769130998702984, over percentage: 0.8223086900129701
vegas: 50.0, predictive mean 53.03457876288787, under percentage: 0.09987029831387809, over percentage: 0.9001297016861219
vegas: 54.0, predictive mean 53.123994670274556, under percentage: 0.7042801556420234, over percentage: 0.29571984435797666
vegas: 51.0, predictive mean 53.040429371965864, under percentage: 0.20881971465629054, over percentage: 0.7911802853437094
vegas: 50.5, predictive mean 53.10696960922538, under percentage: 0.14915693904020752, over percentage: 0.8508430609597925
vegas: 52.5, predictive mean 53.01290761867577, under percentage: 0.46173800259403375, over percentage: 0.5382619974059663
vegas: 55.5, predictive mean 53.17670091439616, under percentage: 0.8508430609597925, over percentage: 0.14915693904020752
vegas: 49.0, predictive mean 53.115963687154995, under percentage: 0.04798962386511025, over percentage: 0.9520103761348897
vegas: 51.0, predictive mean 52.74360714903454, under percentage: 0.19066147859922178, over percentage: 0.8093385214007782
vegas: 52.5, predictive mean 53.10019003486708, under percentage: 0.4345006485084306, over percentage: 0.5654993514915694
vegas: 56.0, predictive mean 52.920232643220395, under percentage: 0.9286640726329443, over percentage: 0.07133592736705577
vegas: 56.0, predictive mean 52.93139351815922, under percentage: 0.867704280155642, over percentage: 0.13229571984435798
vegas: 53.0, predictive mean 53.10277992110128, under percentage: 0.48638132295719844, over percentage: 0.5136186770428015
vegas: 51.5, predictive mean 53.00242871796071, under percentage: 0.28793774319066145, over percentage: 0.7120622568093385
vegas: 51.0, predictive mean 53.06771654986599, under percentage: 0.23735408560311283, over percentage: 0.7626459143968871
vegas: 53.0, predictive mean 53.140587465666904, under percentage: 0.5590142671854734, over percentage: 0.4409857328145266
vegas: 49.0, predictive mean 52.93414847822303, under percentage: 0.04409857328145266, over percentage: 0.9559014267185474
vegas: 55.5, predictive mean 52.846973225598155, under percentage: 0.8702983138780804, over percentage: 0.1297016861219196
vegas: 52.5, predictive mean 52.77614517198967, under percentage: 0.4980544747081712, over percentage: 0.5019455252918288
vegas: 55.5, predictive mean 53.14321844121999, under percentage: 0.833981841763943, over percentage: 0.16601815823605706
vegas: 56.5, predictive mean 53.13271754535233, under percentage: 0.9195849546044098, over percentage: 0.08041504539559015
vegas: 50.0, predictive mean 53.18480547249369, under percentage: 0.08171206225680934, over percentage: 0.9182879377431906
vegas: 49.0, predictive mean 53.0772058264092, under percentage: 0.03761348897535668, over percentage: 0.9623865110246433
vegas: 50.5, predictive mean 53.1974063876679, under percentage: 0.1621271076523995, over percentage: 0.8378728923476005
vegas: 52.5, predictive mean 52.885204303392975, under percentage: 0.44357976653696496, over percentage: 0.556420233463035
vegas: 57.0, predictive mean 53.17799093620421, under percentage: 0.9092088197146563, over percentage: 0.0907911802853437
vegas: 52.0, predictive mean 52.88776333319408, under percentage: 0.4565499351491569, over percentage: 0.543450064850843
vegas: 51.5, predictive mean 53.066115883211125, under percentage: 0.2801556420233463, over percentage: 0.7198443579766537
vegas: 52.0, predictive mean 53.2911037089384, under percentage: 0.3333333333333333, over percentage: 0.6666666666666666
vegas: 53.5, predictive mean 53.02347172927788, under percentage: 0.6459143968871596, over percentage: 0.3540856031128405
vegas: 49.0, predictive mean 53.25948990677943, under percentage: 0.027237354085603113, over percentage: 0.9727626459143969
vegas: 53.5, predictive mean 52.7600713780505, under percentage: 0.622568093385214, over percentage: 0.377431906614786
vegas: 52.5, predictive mean 53.10526478546576, under percentage: 0.42412451361867703, over percentage: 0.5758754863813229
vegas: 51.0, predictive mean 52.89056791706463, under percentage: 0.18028534370946822, over percentage: 0.8197146562905318
vegas: 56.0, predictive mean 53.30696393140243, under percentage: 0.880674448767834, over percentage: 0.11932555123216602
vegas: 52.5, predictive mean 53.042674705250306, under percentage: 0.3852140077821012, over percentage: 0.6147859922178989
vegas: 53.0, predictive mean 53.03051850428233, under percentage: 0.5175097276264592, over percentage: 0.48249027237354086
vegas: 53.5, predictive mean 52.92918387692129, under percentage: 0.603112840466926, over percentage: 0.3968871595330739
vegas: 49.5, predictive mean 53.11452938064783, under percentage: 0.07263294422827497, over percentage: 0.9273670557717251
vegas: 52.0, predictive mean 53.04157856798931, under percentage: 0.3203631647211414, over percentage: 0.6796368352788587
vegas: 51.5, predictive mean 52.92027377088859, under percentage: 0.3333333333333333, over percentage: 0.6666666666666666
vegas: 47.0, predictive mean 53.17386886433739, under percentage: 0.0025940337224383916, over percentage: 0.9974059662775616
vegas: 52.0, predictive mean 53.29414644177545, under percentage: 0.3450064850843061, over percentage: 0.6549935149156939
vegas: 53.5, predictive mean 52.893782228332526, under percentage: 0.6549935149156939, over percentage: 0.3450064850843061
vegas: 58.5, predictive mean 52.65585915458583, under percentage: 0.9922178988326849, over percentage: 0.007782101167315175
vegas: 50.5, predictive mean 53.064481438469045, under percentage: 0.14267185473411154, over percentage: 0.8573281452658884
vegas: 54.5, predictive mean 53.157417504933406, under percentage: 0.8028534370946823, over percentage: 0.19714656290531776
vegas: 52.5, predictive mean 53.25225831703278, under percentage: 0.4046692607003891, over percentage: 0.5953307392996109
vegas: 49.0, predictive mean 53.06373716428608, under percentage: 0.04539559014267185, over percentage: 0.9546044098573282
vegas: 48.0, predictive mean 52.97315515061461, under percentage: 0.02594033722438392, over percentage: 0.9740596627756161
vegas: 53.0, predictive mean 52.90827538346072, under percentage: 0.5538261997405967, over percentage: 0.4461738002594034
vegas: 55.5, predictive mean 53.002846550907286, under percentage: 0.8612191958495461, over percentage: 0.13878080415045396
vegas: 50.0, predictive mean 52.92957656656792, under percentage: 0.11284046692607004, over percentage: 0.8871595330739299
vegas: 56.5, predictive mean 52.9194880660155, under percentage: 0.9494163424124513, over percentage: 0.05058365758754864
