vegas: 45.0, predictive mean 53.085936388245244, under percentage: 0.1608300907911803, over percentage: 0.8391699092088197
vegas: 53.0, predictive mean 54.40681761122035, under percentage: 0.42023346303501946, over percentage: 0.5797665369649806
vegas: 49.5, predictive mean 53.616048772746886, under percentage: 0.30739299610894943, over percentage: 0.6926070038910506
vegas: 51.5, predictive mean 52.57540217851489, under percentage: 0.4604409857328145, over percentage: 0.5395590142671854
vegas: 50.5, predictive mean 53.94491850725416, under percentage: 0.3424124513618677, over percentage: 0.6575875486381323
vegas: 52.0, predictive mean 52.9443592127733, under percentage: 0.45525291828793774, over percentage: 0.5447470817120622
vegas: 51.5, predictive mean 53.899005752880925, under percentage: 0.3981841763942931, over percentage: 0.6018158236057068
vegas: 59.5, predictive mean 53.43955448318328, under percentage: 0.7898832684824902, over percentage: 0.21011673151750973
vegas: 50.5, predictive mean 53.69596995231304, under percentage: 0.3398184176394293, over percentage: 0.6601815823605707
vegas: 47.5, predictive mean 52.49644062157111, under percentage: 0.26459143968871596, over percentage: 0.7354085603112841
vegas: 49.5, predictive mean 52.55174614501253, under percentage: 0.3553826199740597, over percentage: 0.6446173800259404
vegas: 54.5, predictive mean 53.37504548828134, under percentage: 0.569390402075227, over percentage: 0.43060959792477305
vegas: 51.5, predictive mean 54.135378525522725, under percentage: 0.38002594033722437, over percentage: 0.6199740596627756
vegas: 49.5, predictive mean 53.25246695644342, under percentage: 0.2827496757457847, over percentage: 0.7172503242542153
vegas: 53.5, predictive mean 53.19640343672939, under percentage: 0.5278858625162127, over percentage: 0.4721141374837873
vegas: 49.5, predictive mean 53.27876219359624, under percentage: 0.32555123216601817, over percentage: 0.6744487678339819
vegas: 57.0, predictive mean 54.290992824980776, under percentage: 0.6523994811932555, over percentage: 0.3476005188067445
vegas: 51.0, predictive mean 52.0452173748661, under percentage: 0.437094682230869, over percentage: 0.562905317769131
vegas: 53.0, predictive mean 52.482698532697384, under percentage: 0.5382619974059663, over percentage: 0.46173800259403375
vegas: 50.5, predictive mean 53.80091630574661, under percentage: 0.3398184176394293, over percentage: 0.6601815823605707
vegas: 51.5, predictive mean 52.94813841599813, under percentage: 0.42282749675745784, over percentage: 0.5771725032425421
vegas: 51.0, predictive mean 53.73531047714152, under percentage: 0.3761348897535668, over percentage: 0.6238651102464332
vegas: 57.0, predictive mean 53.94911041811037, under percentage: 0.6601815823605707, over percentage: 0.3398184176394293
