vegas: 45.0, predictive mean 53.26376555655382, under percentage: 0.17380025940337224, over percentage: 0.8261997405966277
vegas: 53.0, predictive mean 53.79588411013377, under percentage: 0.45395590142671854, over percentage: 0.5460440985732814
vegas: 49.5, predictive mean 54.004793710003625, under percentage: 0.3203631647211414, over percentage: 0.6796368352788587
vegas: 51.5, predictive mean 53.5405711232605, under percentage: 0.4254215304798962, over percentage: 0.5745784695201037
vegas: 50.5, predictive mean 54.64440312576726, under percentage: 0.3411154345006485, over percentage: 0.6588845654993515
vegas: 52.0, predictive mean 53.55683620878232, under percentage: 0.43320363164721143, over percentage: 0.5667963683527886
vegas: 51.5, predictive mean 53.2812815376036, under percentage: 0.4176394293125811, over percentage: 0.582360570687419
vegas: 59.5, predictive mean 52.96165890842726, under percentage: 0.7392996108949417, over percentage: 0.2607003891050584
vegas: 50.5, predictive mean 52.16541022148685, under percentage: 0.43190661478599224, over percentage: 0.5680933852140078
vegas: 47.5, predictive mean 52.692033077901115, under percentage: 0.28793774319066145, over percentage: 0.7120622568093385
vegas: 49.5, predictive mean 52.712513313217016, under percentage: 0.3852140077821012, over percentage: 0.6147859922178989
vegas: 54.5, predictive mean 54.599644934945026, under percentage: 0.49546044098573283, over percentage: 0.5045395590142672
vegas: 51.5, predictive mean 54.56519667055553, under percentage: 0.37094682230869, over percentage: 0.62905317769131
vegas: 49.5, predictive mean 53.18962719113737, under percentage: 0.35927367055771725, over percentage: 0.6407263294422828
vegas: 53.5, predictive mean 53.8673606202674, under percentage: 0.49416342412451364, over percentage: 0.5058365758754864
vegas: 49.5, predictive mean 53.349622608253824, under percentage: 0.3553826199740597, over percentage: 0.6446173800259404
vegas: 57.0, predictive mean 55.11366232474364, under percentage: 0.5810635538261998, over percentage: 0.41893644617380027
vegas: 51.0, predictive mean 52.98996552017245, under percentage: 0.4176394293125811, over percentage: 0.582360570687419
vegas: 53.0, predictive mean 54.448750789593056, under percentage: 0.43190661478599224, over percentage: 0.5680933852140078
vegas: 50.5, predictive mean 54.708493124502674, under percentage: 0.33073929961089493, over percentage: 0.669260700389105
vegas: 51.5, predictive mean 53.89468594378827, under percentage: 0.4059662775616083, over percentage: 0.5940337224383917
vegas: 51.0, predictive mean 53.81872386434467, under percentage: 0.3852140077821012, over percentage: 0.6147859922178989
vegas: 57.0, predictive mean 52.905049015548876, under percentage: 0.6562905317769131, over percentage: 0.3437094682230869
vegas: 55.5, predictive mean 55.20747548125188, under percentage: 0.5136186770428015, over percentage: 0.48638132295719844
vegas: 52.0, predictive mean 53.05975662760784, under percentage: 0.4487678339818418, over percentage: 0.5512321660181583
vegas: 50.5, predictive mean 52.28891753635045, under percentage: 0.4409857328145266, over percentage: 0.5590142671854734
vegas: 55.5, predictive mean 54.11430491033265, under percentage: 0.5577172503242542, over percentage: 0.44228274967574577
vegas: 48.5, predictive mean 51.75253882464791, under percentage: 0.3527885862516213, over percentage: 0.6472114137483788
vegas: 50.5, predictive mean 54.10289026976884, under percentage: 0.3437094682230869, over percentage: 0.6562905317769131
vegas: 47.5, predictive mean 55.41685643085134, under percentage: 0.20492866407263294, over percentage: 0.795071335927367
vegas: 57.0, predictive mean 52.64795531334784, under percentage: 0.6718547341115434, over percentage: 0.32814526588845655
vegas: 49.0, predictive mean 54.66205949686516, under percentage: 0.2905317769130999, over percentage: 0.7094682230869002
vegas: 53.5, predictive mean 54.79125233895952, under percentage: 0.44487678339818415, over percentage: 0.5551232166018158
vegas: 52.0, predictive mean 53.952542159626724, under percentage: 0.42282749675745784, over percentage: 0.5771725032425421
